crop,disease_or_pest,agent,pathogen_type,recommended_treatment,treatment_type,active_ingredient,dosage,application_interval_days,stage_applicable,organic_option,precautions,region_applicability
Tomato,Early Blight,Alternaria solani,Fungus,"Spray Difenoconazole 0.1% or Mancozeb 0.2% or Bordeaux mixture 0.5%",Chemical,Difenoconazole or Mancozeb,0.1-0.2%,15,Early to Fruiting,"Use crop rotation and remove infected leaves",Avoid overdose of fungicides,Pan India
Rice (Paddy),Blast,Pyricularia oryzae,Fungus,Apply Tricyclazole 75% WP at 300 g/ha and remove collateral plants,Chemical,Tricyclazole,300 g/ha,14,Panicle Initiation,"Use resistant varieties; maintain proper water depth",Avoid excessive nitrogen application,Rice-growing states
Maize (Corn),Stem Borer,Sesamia inferens,Insect,"Install pheromone traps; spray Spinosad 45 SC at 0.3 ml/L when damage >10%",Chemical,Spinosad,0.3 ml/L,15,Early Vegetative,Encourage natural enemies like Trichogramma,Avoid spraying during flowering,Maize-growing regions
Cotton,Bollworm,Helicoverpa armigera,Insect,Spray Emamectin Benzoate 5 SG at 220 g/ha or use Bt formulations,Chemical,"Emamectin Benzoate or Bacillus thuringiensis",220 g/ha,15,Flowering to Boll Formation,Use pheromone traps and neem-based sprays,Rotate insecticides to prevent resistance,"Cotton belts (Punjab, Maharashtra)"
Potato,Late Blight,Phytophthora infestans,Fungus,"Spray Mancozeb 0.25% or Metalaxyl 8% + Mancozeb 64% WP",Chemical,Mancozeb or Metalaxyl,0.25% or 2.5 g/L,10,Tuber Formation,Remove infected leaves and ensure proper spacing,Do not spray close to harvest,Hills & Northern India
Wheat,Brown Rust,Puccinia triticina,Fungus,Spray Propiconazole 25 EC at 500 ml/ha when symptoms appear,Chemical,Propiconazole,500 ml/ha,15,Tillering to Booting,Grow resistant varieties like HD-2967,Avoid planting infected seeds,North & Central India
Sugarcane,Red Rot,Colletotrichum falcatum,Fungus,"Use disease-free setts; treat with Carbendazim 0.1% before planting",Chemical,Carbendazim,0.001,0,Pre-planting,Use setts from heat-treated crops,Avoid waterlogging,Sugarcane-growing regions
Pigeon Pea (Arhar),Wilt,Fusarium udum,Fungus,Seed treatment with Trichoderma viride at 4 g/kg seed,Biological,Trichoderma viride,4 g/kg seed,0,Pre-sowing,Use resistant varieties (e.g. ICP 8863),Avoid waterlogging,Central & South India
Gram (Chana),Pod Borer,Helicoverpa armigera,Insect,"Apply Indoxacarb 15.8 EC at 0.5 ml/L water when larvae are small",Chemical/Biological,Indoxacarb,0.5 ml/L,15-Oct,Pod Formation,"Use pheromone traps; release Chrysoperla larvae",Monitor pest intensity regularly,Gram-growing regions
Mustard,White Rust,Albugo candida,Oomycete,Spray Metalaxyl + Mancozeb (0.2%) at first appearance of white pustules,Chemical,"Metalaxyl + Mancozeb",0.20%,15,Rosette to Flowering,Maintain proper field sanitation,Avoid continuous planting of susceptible varieties,North India
Groundnut (Peanut),Tikka Leaf Spot,Cercospora arachidicola,Fungus,Spray Carbendazim 0.05% or Mancozeb 0.2%,Chemical,Carbendazim or Mancozeb,0.05%-0.2%,12-Oct,40-70 Days After Sowing,Grow resistant varieties like SG-99,Avoid overhead irrigation during evening,"Andhra Pradesh, Gujarat"
Banana,Panama Wilt,Fusarium oxysporum f. sp. cubense,Fungus,No effective chemical control; use biological and cultural practices,Cultural/Biological,Trichoderma harzianum (soil application),10 g/plant,30-60,All Stages,"Use tissue culture plants; soil solarization",Avoid movement of infected soil,All banana growing regions
